"Url","Name","ItemCount","Status"
"/sites/msteams-E/Shared Documents/E/T?cksfors Shoppingcenter FF","T?cksfors Shoppingcenter FF","2"
"/sites/msteams-E/Shared Documents/E/Oskarshamn City","Oskarshamn City","3"
"/sites/msteams-E/Shared Documents/E/Bon Accord","Bon Accord","6"
"/sites/msteams-E/Shared Documents/E/Bitcard","Bitcard","7"
"/sites/msteams-E/Shared Documents/E/Port 73 (Atrium Ljungberg Port 73)","Port 73 (Atrium Ljungberg Port 73)","3"
"/sites/msteams-E/Shared Documents/E/CleverGift","CleverGift","2"
"/sites/msteams-E/Shared Documents/E/TwentyOne","TwentyOne","6"
"/sites/msteams-E/Shared Documents/E/Saluhallen Slakteriet  i V?stmanland AB","Saluhallen Slakteriet  i V?stmanland AB","3"
"/sites/msteams-E/Shared Documents/E/Scotch Hall","Scotch Hall","6"
"/sites/msteams-E/Shared Documents/E/Nordiska Kompaniet","Nordiska Kompaniet","6"
"/sites/msteams-E/Shared Documents/E/Intu","Intu","2"
"/sites/msteams-E/Shared Documents/E/Landsec","Landsec","2"
"/sites/msteams-E/Shared Documents/E/Forestside","Forestside","6"
"/sites/msteams-E/Shared Documents/E/EML Bubbles","EML Bubbles","1"
"/sites/msteams-E/Shared Documents/E/Bet365","Bet365","2"
"/sites/msteams-E/Shared Documents/E/S?pp? (Finland)","S?pp? (Finland)","2"
"/sites/msteams-E/Shared Documents/E/Horticultural Trades Association","Horticultural Trades Association","2"
"/sites/msteams-E/Shared Documents/E/Athlone","Athlone","6"
"/sites/msteams-E/Shared Documents/E/Via Outlets","Via Outlets","7"
"/sites/msteams-E/Shared Documents/E/?rnsk?ldsvik","?rnsk?ldsvik","2"
"/sites/msteams-E/Shared Documents/E/Tripla (Finland)","Tripla (Finland)","2"
"/sites/msteams-E/Shared Documents/E/Newport","Newport","2"
"/sites/msteams-E/Shared Documents/E/Sala - F?retagscentrum i Sala ek f?r","Sala - F?retagscentrum i Sala ek f?r","2"
"/sites/msteams-E/Shared Documents/E/Card Production","Card Production","0"
"/sites/msteams-E/Shared Documents/E/Lunds Citysamverkan","Lunds Citysamverkan","3"
"/sites/msteams-E/Shared Documents/E/Instabank","Instabank","7"
"/sites/msteams-E/Shared Documents/E/Avinity","Avinity","7"
"/sites/msteams-E/Shared Documents/E/Betsson","Betsson","12"
"/sites/msteams-E/Shared Documents/E/EML NOR","EML NOR","0"
"/sites/msteams-E/Shared Documents/E/Mulga Ryo Shopping","Mulga Ryo Shopping","2"
"/sites/msteams-E/Shared Documents/E/Overgate","Overgate","6"
"/sites/msteams-E/Shared Documents/E/Wolverhampton","Wolverhampton","2"
"/sites/msteams-E/Shared Documents/E/Veturi (Finland)","Veturi (Finland)","2"
"/sites/msteams-E/Shared Documents/E/NK (Sverige)","NK (Sverige)","3"
"/sites/msteams-E/Shared Documents/E/Value Retail","Value Retail","9"
"/sites/msteams-E/Shared Documents/E/Redeem - Three","Redeem - Three","2"
"/sites/msteams-E/Shared Documents/E/S?ffle","S?ffle","3"
"/sites/msteams-E/Shared Documents/E/V?stervik Fram?t","V?stervik Fram?t","3"
"/sites/msteams-E/Shared Documents/E/Pite?","Pite?","4"
"/sites/msteams-E/Shared Documents/E/Roomex","Roomex","2"
"/sites/msteams-E/Shared Documents/E/Klepierre - Iberia","Klepierre - Iberia","7"
"/sites/msteams-E/Shared Documents/E/Sello (Finland)","Sello (Finland)","3"
"/sites/msteams-E/Shared Documents/E/Kramfors handel","Kramfors handel","2"
"/sites/msteams-E/Shared Documents/E/K?ping","K?ping","2"
"/sites/msteams-E/Shared Documents/E/Issuing Projects","Issuing Projects","3"
"/sites/msteams-E/Shared Documents/E/ECE","ECE","2"
"/sites/msteams-E/Shared Documents/E/PerfectCard Transitions","PerfectCard Transitions","11"
"/sites/msteams-E/Shared Documents/E/Coinjar","Coinjar","2"
"/sites/msteams-E/Shared Documents/E/Microlog - Steen Str?m Norge","Microlog - Steen Str?m Norge","1"
"/sites/msteams-E/Shared Documents/E/Linde City Lindesberg","Linde City Lindesberg","3"
"/sites/msteams-E/Shared Documents/E/Waasland","Waasland","7"
"/sites/msteams-E/Shared Documents/E/Enniskillen","Enniskillen","2"
"/sites/msteams-E/Shared Documents/E/Neinver","Neinver","7"
"/sites/msteams-E/Shared Documents/E/Hammerson","Hammerson","8"
"/sites/msteams-E/Shared Documents/E/Strabane","Strabane","2"
"/sites/msteams-E/Shared Documents/E/Cushman & Wakefield","Cushman & Wakefield","19"
"/sites/msteams-E/Shared Documents/E/Elfin Market","Elfin Market","8"
"/sites/msteams-E/Shared Documents/E/McArthur Glen","McArthur Glen","2"
"/sites/msteams-E/Shared Documents/E/Oslo Fashion Outlet (Vestby C)","Oslo Fashion Outlet (Vestby C)","1"
"/sites/msteams-E/Shared Documents/E/Klepierre - Germany","Klepierre - Germany","6"
"/sites/msteams-E/Shared Documents/E/Ljusdal","Ljusdal","2"
"/sites/msteams-E/Shared Documents/E/V?xj? City","V?xj? City","3"
"/sites/msteams-E/Shared Documents/E/Touchwood","Touchwood","6"
"/sites/msteams-E/Shared Documents/E/Foyleside","Foyleside","6"
"/sites/msteams-E/Shared Documents/E/Blackhawk_Didix","Blackhawk_Didix","9"
"/sites/msteams-E/Shared Documents/E/Fair For You","Fair For You","10"
"/sites/msteams-E/Shared Documents/E/East Kilbride","East Kilbride","6"
"/sites/msteams-E/Shared Documents/E/The Thistles","The Thistles","6"
"/sites/msteams-E/Shared Documents/E/Link?ping City","Link?ping City","3"
"/sites/msteams-E/Shared Documents/E/AireSur","AireSur","7"
"/sites/msteams-E/Shared Documents/E/GVC","GVC","10"
"/sites/msteams-E/Shared Documents/E/Princesshay Exeter","Princesshay Exeter","6"
"/sites/msteams-E/Shared Documents/E/Kv Caroli","Kv Caroli","2"
