Source,Destination,Item name,Extension,Item size (bytes),Type,Status,Result category,Message,Error code,Source item ID,Destination item ID,Package number,Migration job ID,Incremental round,Task ID,Device name,Server error message
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design EML\Archive\EML Old Branding\Brand Books\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design EML/Archive/EML Old Branding/Brand Books/Thumbs.db","Thumbs.db",".db","674304","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","17b28a6c-6cc1-5b0c-8950-6e0b8fc26eae","17b28a6c-6cc1-5b0c-8950-6e0b8fc26eae","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design EML\Archive\EML Old Branding\Client Logos&Card Samples\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design EML/Archive/EML Old Branding/Client Logos&Card Samples/Thumbs.db","Thumbs.db",".db","380416","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","7bbe9647-3dd6-59e5-b39d-113c7e6f2bd8","7bbe9647-3dd6-59e5-b39d-113c7e6f2bd8","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design EML\Archive\EML Old Branding\Diagrams\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design EML/Archive/EML Old Branding/Diagrams/Thumbs.db","Thumbs.db",".db","672256","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","fa17bab8-406e-5d28-83cc-8ba801054139","fa17bab8-406e-5d28-83cc-8ba801054139","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design EML\Archive\EML Old Branding\EML_Branding_ICONS\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design EML/Archive/EML Old Branding/EML_Branding_ICONS/Thumbs.db","Thumbs.db",".db","83456","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","e9372311-de9a-5aee-96ff-dc7045c0477b","e9372311-de9a-5aee-96ff-dc7045c0477b","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design EML\Archive\EML Old Branding\EML_Business Cards\.BridgeLabelsAndRatings","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design EML/Archive/EML Old Branding/EML_Business Cards/.BridgeLabelsAndRatings",".BridgeLabelsAndRatings",".BridgeLabelsAndRatings","0","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","9f571d2b-fc30-581f-9fd0-4c06b0d4afd1","9f571d2b-fc30-581f-9fd0-4c06b0d4afd1","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design EML\Archive\EML Old Branding\EML_Business Cards\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design EML/Archive/EML Old Branding/EML_Business Cards/Thumbs.db","Thumbs.db",".db","122368","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","20331d2f-d7d0-55b9-ae33-182fafd34bab","20331d2f-d7d0-55b9-ae33-182fafd34bab","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design EML\Archive\EML Old Branding\EML_Christmas_GiftCard\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design EML/Archive/EML Old Branding/EML_Christmas_GiftCard/Thumbs.db","Thumbs.db",".db","36864","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","ace2b3db-8207-59f5-988e-60bc4d750336","ace2b3db-8207-59f5-988e-60bc4d750336","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design EML\Archive\EML Old Branding\EML_Compliance\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design EML/Archive/EML Old Branding/EML_Compliance/Thumbs.db","Thumbs.db",".db","100352","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","416754e3-1e40-5022-8e9f-bad704658eb7","416754e3-1e40-5022-8e9f-bad704658eb7","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design EML\Archive\EML Old Branding\EML_Confluence\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design EML/Archive/EML Old Branding/EML_Confluence/Thumbs.db","Thumbs.db",".db","61440","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","f76bfc6c-6a45-5d09-a355-cf8ea9ae9c3c","f76bfc6c-6a45-5d09-a355-cf8ea9ae9c3c","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design EML\Archive\EML Old Branding\EML_Corporate Branding\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design EML/Archive/EML Old Branding/EML_Corporate Branding/Thumbs.db","Thumbs.db",".db","71168","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","a70e7a54-4da7-55b9-a445-bf42926bd9d9","a70e7a54-4da7-55b9-a445-bf42926bd9d9","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design EML\Archive\EML Old Branding\EML_Corporate-Folder\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design EML/Archive/EML Old Branding/EML_Corporate-Folder/Thumbs.db","Thumbs.db",".db","67584","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","17c37c8b-1a4c-56e5-92b4-4ad00f3cbd05","17c37c8b-1a4c-56e5-92b4-4ad00f3cbd05","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design EML\Archive\EML Old Branding\EML_Design Guidelines\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design EML/Archive/EML Old Branding/EML_Design Guidelines/Thumbs.db","Thumbs.db",".db","19968","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","a33fe3e1-83fc-5781-94fa-66a4e66d7072","a33fe3e1-83fc-5781-94fa-66a4e66d7072","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
"D:\EMH_Data\OneDrive Folder Structure\_Operations\Australia\A\DESIGN\Design EML\Archive\EML Old Branding\EML_eftpos_PDS\Thumbs.db","https://emlpayments.sharepoint.com/sites/msteams663-A/Shared Documents/A/DESIGN/Design EML/Archive/EML Old Branding/EML_eftpos_PDS/Thumbs.db","Thumbs.db",".db","47616","File","Failed","SCAN FILTER","The file was Filtered out by Customer Settings:The item is hidden","0x01210003","d4fb1e10-f7d1-51ec-a512-b72418fbff68","d4fb1e10-f7d1-51ec-a512-b72418fbff68","N/A","N/A","1","b78965f3-e000-4dcf-a277-79cc309b16b3","SF-OFF-FS-01","N/A"
